Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
21005,1.51,Very Good,H,SI1,59.9,55.0,9218,7.44,7.52,4.48
28467,0.39,Very Good,E,SI2,59.1,56.0,672,4.76,4.82,2.83
30681,0.4,Ideal,E,SI1,62.2,55.0,737,4.71,4.75,2.94
31689,0.33,Very Good,E,VVS1,63.2,53.0,770,4.42,4.47,2.81
8411,0.9,Ideal,H,VS2,61.9,58.0,4403,6.2,6.24,3.85
48532,0.73,Very Good,G,SI2,62.6,56.0,1986,5.77,5.79,3.62
13558,1.2,Premium,D,SI2,62.0,58.0,5551,6.84,6.77,4.22
28720,0.31,Premium,E,VS2,61.6,59.0,680,4.32,4.35,2.67
16791,1.21,Ideal,I,VS1,61.5,58.0,6691,6.84,6.88,4.22
29449,0.34,Ideal,E,VS1,62.8,56.0,702,4.46,4.49,2.81
3401,0.3,Premium,I,VS1,61.6,61.0,567,4.28,4.23,2.62
20579,1.0,Premium,E,VVS2,61.6,59.0,8888,6.42,6.46,3.97
25486,2.16,Good,I,VS2,63.6,56.0,14266,8.18,8.12,5.18
37904,0.41,Premium,F,VS1,62.7,58.0,1007,4.74,4.77,2.98
16008,1.04,Very Good,F,VS2,59.0,57.0,6405,6.64,6.69,3.93
24388,0.41,Very Good,D,SI2,62.3,61.0,638,4.72,4.75,2.95
27355,2.57,Premium,D,SI2,58.9,58.0,17924,8.99,8.94,5.28
29805,0.3,Premium,D,SI1,61.7,59.0,709,4.31,4.28,2.65
39318,0.38,Ideal,F,VVS1,61.0,57.0,1070,4.66,4.69,2.85
4475,1.1,Ideal,F,I1,61.3,56.9,3623,6.62,6.68,4.08
16909,1.23,Premium,G,SI1,62.4,55.0,6750,6.89,6.83,4.28
233,0.72,Very Good,F,VS2,63.6,58.0,2787,5.66,5.69,3.61
52109,0.61,Ideal,H,IF,59.4,59.0,2461,5.55,5.59,3.31
25154,1.3,Very Good,E,VVS2,60.5,58.0,13725,7.05,7.11,4.28
23485,1.51,Good,E,SI1,62.8,59.0,11487,7.16,7.2,4.51
43083,0.58,Very Good,G,SI1,61.9,56.0,1379,5.35,5.39,3.32
19358,0.27,Very Good,E,VVS2,63.0,56.0,622,4.12,4.14,2.6
28528,0.31,Very Good,F,VS1,60.9,56.0,675,4.37,4.38,2.66
49868,0.82,Very Good,J,SI2,62.0,58.0,2175,5.93,5.98,3.69
41057,0.42,Very Good,H,VS2,60.9,55.0,1190,4.87,4.89,2.97
